State;Murder;Assault;UrbanPop;Rape
Alabama;13.20;236.00;58.00;21.20
Alaska;10.00;263.00;48.00;44.50
Arizona;8.10;294.00;80.00;31.00
Arkansas;8.80;190.00;50.00;19.50
California;9.00;276.00;91.00;40.60
Colorado;7.90;204.00;78.00;38.70
Connecticut;3.30;110.00;77.00;11.10
Delaware;5.90;238.00;72.00;15.80
Florida;15.40;335.00;80.00;31.90
Georgia;17.40;211.00;60.00;25.80
Hawaii;5.30;46.00;83.00;20.20
Idaho;2.60;120.00;54.00;14.20
Illinois;10.40;249.00;83.00;24.00
Indiana;7.20;113.00;65.00;21.00
Iowa;2.20;56.00;57.00;11.30
Kansas;6.00;115.00;66.00;18.00
Kentucky;9.70;109.00;52.00;16.30
Louisiana;15.40;249.00;66.00;22.20
Maine;2.10;83.00;51.00;7.80
Maryland;11.30;300.00;67.00;27.80
Massachusetts;4.40;149.00;85.00;16.30
Michigan;12.10;255.00;74.00;35.10
Minnesota;2.70;72.00;66.00;14.90
Mississippi;16.10;259.00;44.00;17.10
Missouri;9.00;178.00;70.00;28.20
Montana;6.00;109.00;53.00;16.40
Nebraska;4.30;102.00;62.00;16.50
Nevada;12.20;252.00;81.00;46.00
New Hampshire;2.10;57.00;56.00;9.50
New Jersey;7.40;159.00;89.00;18.80
New Mexico;11.40;285.00;70.00;32.10
New York;11.10;254.00;86.00;26.10
North Carolina;13.00;337.00;45.00;16.10
North Dakota;0.80;45.00;44.00;7.30
Ohio;7.30;120.00;75.00;21.40
Oklahoma;6.60;151.00;68.00;20.00
Oregon;4.90;159.00;67.00;29.30
Pennsylvania;6.30;106.00;72.00;14.90
Rhode Island;3.40;174.00;87.00;8.30
South Carolina;14.40;279.00;48.00;22.50
South Dakota;3.80;86.00;45.00;12.80
Tennessee;13.20;188.00;59.00;26.90
Texas;12.70;201.00;80.00;25.50
Utah;3.20;120.00;80.00;22.90
Vermont;2.20;48.00;32.00;11.20
Virginia;8.50;156.00;63.00;20.70
Washington;4.00;145.00;73.00;26.20
West Virginia;5.70;81.00;39.00;9.30
Wisconsin;2.60;53.00;66.00;10.80
Wyoming;6.80;161.00;60.00;15.60
